"order_item_id";"order_id";"product_id";"quantity";"unit_price"
1;1;93;2;177.34
2;1;212;1;167.62
3;1;87;2;172.22
4;1;268;2;22.25
5;2;177;1;190.69
6;2;56;3;84.93
7;2;61;2;251.37
8;2;187;3;145.63
9;3;58;2;37.93
10;3;207;2;234.88
11;4;215;2;42.37
12;4;168;3;36.16
13;5;287;1;82.17
14;5;283;2;114.46
15;5;229;2;14.92
16;5;50;3;63.53
17;5;278;1;58.03
18;6;218;1;163.84
19;6;28;1;98.17
20;7;181;1;42.65
21;7;242;3;66.96
22;7;93;3;177.34
23;7;112;2;112.28
24;8;220;3;97.41
25;9;173;3;44.37
26;9;127;2;28.04
27;9;146;1;35.44
28;10;96;2;318.43
29;10;11;2;27.62
30;10;175;3;18.54
31;10;112;1;112.28
32;11;30;2;43.42
33;12;206;1;30.23
34;12;123;3;70.77
35;12;244;3;291.31
36;12;3;2;355.2
37;13;34;3;71.61
38;13;169;3;117.44
39;13;275;2;167.5
40;13;267;2;23.63
41;13;73;2;47.55
42;14;150;3;51.66
43;14;126;1;333.38
44;14;127;1;28.04
45;14;10;3;83.77
46;14;47;2;10.35
47;15;278;1;58.03
48;15;276;3;77.1
49;15;25;1;36.6
50;16;108;3;53.06
51;17;42;3;263.42
52;18;146;3;35.44
53;18;83;1;28.81
54;18;181;1;42.65
55;18;54;3;232.82
56;18;126;2;333.38
57;19;139;3;284.29
58;19;5;3;99.57
59;19;10;2;83.77
60;19;38;3;136.67
61;19;26;3;73.19
62;20;78;3;18.59
63;20;157;3;145.39
64;20;33;2;98.43
65;21;230;1;163.67
66;21;289;3;36.82
67;22;151;3;14.87
68;23;48;1;214.66
69;23;107;3;57.11
70;24;96;2;318.43
71;25;232;3;21.33
72;25;184;3;75.61
73;25;102;1;79.45
74;25;243;2;23.3
75;26;58;1;37.93
76;26;44;2;46.23
77;26;170;1;22.32
78;26;189;2;298.51
79;26;161;1;66.77
80;27;210;1;230.86
81;28;282;3;377.84
82;28;75;3;176.39
83;28;32;3;65.71
84;29;60;1;69.22
85;29;55;1;105.96
86;29;264;2;22.18
87;29;27;1;257.64
88;30;14;1;139.17
89;31;225;1;14.43
90;31;109;3;46.77
91;32;77;2;137.95
92;32;3;1;355.2
93;32;31;3;263.13
94;32;223;2;12.9
95;32;209;1;110.99
96;33;141;3;62.63
97;33;290;1;138.11
98;34;106;3;63.95
99;34;300;2;105.48
100;34;171;3;59.0
101;34;168;3;36.16
102;34;247;2;280.92
103;35;180;3;59.61
104;35;174;1;16.75
105;35;145;1;77.19
106;35;26;2;73.19
107;35;101;2;337.71
108;36;63;1;81.7
109;37;131;2;94.96
110;37;192;1;139.65
