"order_id";"customer_id";"order_date";"status";"total_amount";"discount_pct"
1;842;"2023-08-15 20:00:00";"delivered";1043.6;0.0
2;2032;"2023-08-22 20:00:00";"processing";207.38;10.0
3;1206;"2023-08-11 16:00:00";"processing";351.64;10.0
4;3734;"2023-06-29 03:00:00";"processing";333.96;10.0
5;2911;"2024-01-01 00:00:00";"delivered";120.76;0.0
6;3493;"2023-06-05 10:00:00";"processing";476.32;0.0
7;956;"2023-04-06 00:00:00";"delivered";892.8;0.0
8;3959;"2023-04-21 08:00:00";"pending";1313.51;0.0
9;4892;"2023-02-15 23:00:00";"delivered";405.39;5.0
10;24;"2023-01-27 21:00:00";"delivered";592.11;0.0
11;3802;"2023-07-14 05:00:00";"delivered";174.29;5.0
12;1209;"2023-12-08 03:00:00";"delivered";1368.0;0.0
13;3311;"2023-09-11 18:00:00";"processing";1309.06;0.0
14;1436;"2023-02-11 12:00:00";"shipped";536.32;0.0
15;4604;"2023-04-15 23:00:00";"delivered";2379.58;0.0
16;3147;"2023-01-09 19:00:00";"processing";203.26;10.0
17;4273;"2023-03-23 16:00:00";"shipped";1176.29;0.0
18;4826;"2023-03-25 04:00:00";"delivered";270.08;5.0
19;4975;"2023-08-10 06:00:00";"delivered";3064.98;5.0
20;4729;"2023-10-02 18:00:00";"shipped";418.0;0.0
21;2570;"2023-02-07 07:00:00";"shipped";195.6;15.0
22;2803;"2023-09-25 17:00:00";"pending";515.73;0.0
23;1751;"2023-05-30 21:00:00";"delivered";94.96;0.0
24;532;"2023-01-05 17:00:00";"processing";1797.96;0.0
25;3346;"2023-03-28 01:00:00";"shipped";2184.23;10.0
26;4629;"2023-09-06 17:00:00";"processing";1711.58;5.0
27;4755;"2023-10-22 18:00:00";"processing";800.6;0.0
28;865;"2023-03-11 22:00:00";"processing";1213.39;0.0
29;4168;"2023-04-27 19:00:00";"pending";2151.78;5.0
30;787;"2023-02-26 17:00:00";"delivered";1366.6;0.0
31;4795;"2023-01-05 09:00:00";"shipped";522.53;0.0
32;2978;"2023-05-18 09:00:00";"delivered";3743.27;0.0
33;381;"2023-11-18 09:00:00";"processing";164.27;20.0
34;1677;"2023-05-11 06:00:00";"processing";1278.73;0.0
35;4337;"2023-05-29 20:00:00";"cancelled";346.19;10.0
36;3476;"2023-08-06 01:00:00";"delivered";16.51;0.0
37;4648;"2023-08-23 11:00:00";"delivered";1054.41;0.0
38;449;"2023-06-21 04:00:00";"shipped";1810.19;0.0
39;3619;"2023-11-23 10:00:00";"shipped";746.69;15.0
40;1531;"2023-12-21 13:00:00";"pending";406.59;10.0
41;2599;"2023-11-04 02:00:00";"shipped";1635.07;0.0
42;3507;"2023-01-14 09:00:00";"delivered";469.31;0.0
43;1230;"2023-04-07 07:00:00";"shipped";335.27;10.0
44;2371;"2023-08-24 19:00:00";"delivered";206.0;5.0
45;4979;"2023-08-20 08:00:00";"delivered";741.75;10.0
46;4420;"2023-03-02 07:00:00";"delivered";889.68;5.0
47;1822;"2023-11-05 21:00:00";"delivered";1395.11;5.0
48;3311;"2023-03-22 21:00:00";"delivered";2155.07;0.0
49;2685;"2023-11-18 11:00:00";"shipped";3358.47;0.0
50;742;"2023-08-13 23:00:00";"delivered";96.98;15.0
51;3085;"2023-05-02 07:00:00";"shipped";981.72;15.0
52;3508;"2023-08-27 05:00:00";"delivered";1685.97;5.0
53;1256;"2023-05-08 21:00:00";"delivered";528.57;0.0
54;791;"2023-11-16 05:00:00";"shipped";1582.17;20.0
55;1619;"2023-01-11 06:00:00";"delivered";842.98;0.0
56;981;"2023-10-09 16:00:00";"delivered";468.34;5.0
57;4496;"2023-04-07 12:00:00";"delivered";576.55;5.0
58;4740;"2023-07-15 07:00:00";"delivered";90.34;20.0
59;3909;"2023-07-17 04:00:00";"shipped";473.64;0.0
60;1477;"2023-07-03 03:00:00";"delivered";816.94;15.0
61;3654;"2023-06-30 12:00:00";"processing";1567.18;5.0
62;4190;"2023-03-14 10:00:00";"shipped";231.46;0.0
63;1245;"2023-06-28 15:00:00";"delivered";85.86;0.0
64;708;"2023-11-08 12:00:00";"cancelled";1917.06;15.0
65;8;"2023-03-10 20:00:00";"processing";33.34;0.0
66;3818;"2023-07-24 14:00:00";"pending";2342.33;5.0
67;683;"2023-04-20 04:00:00";"shipped";1645.03;10.0
68;2932;"2023-09-22 07:00:00";"shipped";507.18;0.0
69;4393;"2023-07-17 19:00:00";"delivered";317.89;5.0
70;2727;"2023-02-23 15:00:00";"delivered";21.91;5.0
71;2979;"2023-10-14 19:00:00";"delivered";1049.97;0.0
72;4660;"2023-10-18 06:00:00";"processing";1021.75;0.0
73;217;"2023-05-06 05:00:00";"shipped";330.26;5.0
74;4649;"2023-06-12 09:00:00";"processing";240.36;5.0
75;743;"2023-08-22 05:00:00";"processing";181.93;5.0
76;4964;"2023-04-15 20:00:00";"delivered";3307.05;0.0
77;2903;"2023-09-03 17:00:00";"shipped";126.85;5.0
78;3670;"2023-10-06 12:00:00";"cancelled";1208.49;5.0
79;4043;"2023-06-22 12:00:00";"processing";196.0;0.0
80;4593;"2023-03-01 04:00:00";"processing";1564.02;5.0
81;3942;"2023-12-17 16:00:00";"pending";2715.57;0.0
82;2468;"2023-12-27 20:00:00";"pending";2235.55;5.0
83;64;"2023-12-17 16:00:00";"processing";598.61;0.0
84;1978;"2023-03-05 20:00:00";"shipped";1452.42;0.0
85;259;"2023-03-27 04:00:00";"processing";145.24;0.0
86;4021;"2023-11-01 15:00:00";"delivered";1292.44;0.0
87;4469;"2023-10-23 22:00:00";"shipped";1420.8;0.0
88;774;"2023-03-23 07:00:00";"cancelled";523.9;10.0
89;3573;"2023-08-11 18:00:00";"processing";1511.99;0.0
90;461;"2023-08-17 20:00:00";"shipped";1346.77;0.0
91;1927;"2023-03-05 01:00:00";"pending";333.92;20.0
92;4803;"2023-08-25 05:00:00";"shipped";70.64;5.0
93;3099;"2023-10-10 12:00:00";"shipped";1496.93;0.0
94;2654;"2023-11-17 08:00:00";"shipped";469.41;0.0
95;3846;"2023-09-01 10:00:00";"delivered";642.9;0.0
96;4247;"2023-10-31 05:00:00";"pending";598.71;0.0
97;3728;"2023-08-30 21:00:00";"delivered";682.3;20.0
98;314;"2023-05-02 00:00:00";"delivered";1022.56;5.0
99;3117;"2023-11-16 12:00:00";"pending";219.79;5.0
100;3833;"2023-11-16 18:00:00";"shipped";1691.54;5.0
101;1030;"2023-02-25 08:00:00";"delivered";42.37;0.0
102;4539;"2023-05-29 05:00:00";"cancelled";1184.74;5.0
103;4949;"2023-11-20 20:00:00";"processing";1291.89;0.0
104;412;"2023-02-12 21:00:00";"shipped";913.98;0.0
105;1331;"2023-03-26 21:00:00";"cancelled";516.73;0.0
106;2154;"2023-07-09 11:00:00";"shipped";309.19;0.0
107;3007;"2023-03-20 22:00:00";"delivered";2188.96;0.0
108;920;"2023-08-30 07:00:00";"shipped";430.61;0.0
109;3572;"2023-08-19 23:00:00";"pending";1217.59;0.0
110;3638;"2023-05-06 12:00:00";"shipped";1891.19;0.0
111;161;"2023-10-28 16:00:00";"processing";443.08;0.0
112;3081;"2023-09-13 21:00:00";"processing";1744.75;5.0
113;2184;"2023-10-19 12:00:00";"shipped";925.57;0.0
114;1995;"2023-04-23 03:00:00";"delivered";321.61;5.0
115;3518;"2023-07-20 23:00:00";"shipped";848.45;0.0
116;3466;"2023-05-01 23:00:00";"shipped";515.28;0.0
117;4675;"2023-05-14 16:00:00";"shipped";1686.1;20.0
118;259;"2023-03-03 18:00:00";"processing";784.38;0.0
119;3328;"2023-09-18 14:00:00";"shipped";450.08;0.0
120;428;"2023-01-26 02:00:00";"shipped";179.34;0.0
121;2231;"2023-08-04 02:00:00";"shipped";394.08;0.0
122;990;"2023-12-29 16:00:00";"processing";294.76;15.0
123;1020;"2023-07-19 07:00:00";"pending";1049.84;10.0
124;778;"2023-08-23 12:00:00";"pending";197.13;0.0
125;1346;"2023-06-21 06:00:00";"delivered";518.33;10.0
126;3034;"2023-03-09 05:00:00";"delivered";166.14;0.0
127;4803;"2023-07-31 03:00:00";"shipped";972.53;0.0
128;1795;"2023-10-20 00:00:00";"shipped";3638.49;0.0
129;1816;"2023-01-06 19:00:00";"delivered";1131.56;0.0
130;2901;"2023-11-11 12:00:00";"delivered";914.86;0.0
131;4362;"2023-06-24 12:00:00";"processing";63.99;0.0
132;4190;"2023-09-04 01:00:00";"delivered";383.0;0.0
133;3497;"2023-01-03 09:00:00";"processing";467.02;10.0
134;4680;"2023-06-03 06:00:00";"shipped";330.98;10.0
135;4799;"2023-04-21 21:00:00";"shipped";980.3;15.0
136;1799;"2023-03-15 04:00:00";"delivered";1202.75;0.0
137;2575;"2023-08-01 20:00:00";"shipped";1336.82;0.0
138;4136;"2023-04-17 08:00:00";"shipped";366.72;20.0
139;461;"2023-05-30 21:00:00";"delivered";514.71;0.0
140;1562;"2023-07-25 06:00:00";"delivered";2155.84;5.0
141;4877;"2023-06-12 16:00:00";"delivered";2358.39;5.0
142;1606;"2023-11-27 18:00:00";"delivered";954.68;0.0
143;4926;"2023-02-27 22:00:00";"cancelled";628.4;0.0
144;4228;"2023-12-05 15:00:00";"delivered";879.45;0.0
145;3233;"2023-06-15 12:00:00";"processing";699.22;0.0
146;2752;"2023-03-04 06:00:00";"processing";1618.87;5.0
147;4847;"2023-06-15 05:00:00";"delivered";187.39;0.0
148;4331;"2023-07-21 23:00:00";"processing";1718.41;0.0
149;2091;"2023-04-15 15:00:00";"delivered";220.04;0.0
150;1361;"2023-02-01 18:00:00";"shipped";1039.48;0.0
151;2546;"2023-01-06 15:00:00";"processing";544.41;20.0
152;4164;"2023-10-13 20:00:00";"shipped";146.04;0.0
153;592;"2023-01-31 21:00:00";"processing";1288.72;0.0
154;3596;"2023-01-12 00:00:00";"processing";1237.28;0.0
155;4020;"2023-05-16 16:00:00";"delivered";200.41;5.0
156;2051;"2023-09-10 23:00:00";"delivered";204.19;0.0
157;4576;"2023-05-05 05:00:00";"delivered";80.34;5.0
158;1113;"2023-10-31 00:00:00";"processing";397.12;10.0
159;2816;"2023-03-01 20:00:00";"processing";358.49;10.0
160;2902;"2023-04-24 15:00:00";"pending";477.06;0.0
161;1742;"2023-05-26 00:00:00";"delivered";1040.77;0.0
162;1779;"2023-05-12 22:00:00";"delivered";401.74;0.0
163;1327;"2023-11-06 02:00:00";"cancelled";262.8;0.0
164;2173;"2023-05-26 19:00:00";"pending";38.28;0.0
165;4661;"2023-01-21 10:00:00";"pending";172.22;0.0
166;4276;"2023-03-10 18:00:00";"shipped";919.87;0.0
167;3537;"2023-11-17 18:00:00";"delivered";216.79;5.0
168;4322;"2023-06-05 02:00:00";"processing";1352.22;0.0
169;753;"2023-11-23 15:00:00";"processing";777.31;0.0
170;3902;"2023-01-09 20:00:00";"processing";376.11;0.0
171;841;"2023-03-05 14:00:00";"delivered";803.34;0.0
172;1148;"2023-11-16 19:00:00";"pending";1051.6;0.0
173;2509;"2023-04-19 07:00:00";"delivered";1342.99;10.0
174;2371;"2023-11-20 23:00:00";"shipped";1803.6;0.0
175;4756;"2023-05-11 18:00:00";"shipped";2100.62;10.0
176;3335;"2023-09-17 09:00:00";"delivered";159.31;0.0
177;176;"2023-04-24 08:00:00";"delivered";444.72;0.0
178;4121;"2023-03-23 14:00:00";"processing";485.22;15.0
179;2601;"2023-09-30 00:00:00";"cancelled";131.64;0.0
180;1453;"2023-11-02 00:00:00";"processing";591.91;15.0
181;4345;"2023-11-08 05:00:00";"delivered";1079.14;0.0
182;2450;"2023-03-30 22:00:00";"pending";689.42;10.0
183;3656;"2023-06-01 18:00:00";"delivered";946.44;5.0
184;4236;"2023-08-24 07:00:00";"processing";2264.82;0.0
185;3892;"2023-01-13 15:00:00";"delivered";479.47;10.0
186;591;"2023-10-03 01:00:00";"shipped";685.82;5.0
187;4406;"2023-02-02 12:00:00";"delivered";686.8;0.0
188;3845;"2023-11-12 09:00:00";"delivered";692.32;0.0
189;3557;"2023-10-05 16:00:00";"processing";1100.61;0.0
190;3855;"2023-01-23 16:00:00";"delivered";104.29;10.0
191;447;"2023-09-19 13:00:00";"shipped";777.1;5.0
192;3736;"2023-02-17 12:00:00";"processing";1116.88;0.0
193;4271;"2023-06-17 11:00:00";"shipped";161.62;5.0
194;3659;"2023-03-08 02:00:00";"processing";1020.37;0.0
195;806;"2023-03-23 15:00:00";"pending";828.17;0.0
196;1387;"2023-01-03 00:00:00";"delivered";367.4;5.0
197;3493;"2023-11-22 06:00:00";"delivered";515.42;5.0
198;1992;"2023-03-02 22:00:00";"processing";510.52;10.0
199;230;"2023-10-29 03:00:00";"processing";1813.59;0.0
200;3235;"2023-08-14 12:00:00";"shipped";862.82;5.0
201;1596;"2023-10-03 20:00:00";"cancelled";1709.04;0.0
202;4717;"2023-12-04 01:00:00";"shipped";2843.97;0.0
203;4842;"2023-11-23 04:00:00";"shipped";188.44;20.0
204;2344;"2023-04-07 06:00:00";"shipped";733.39;15.0
205;1269;"2023-01-01 17:00:00";"delivered";43.11;5.0
206;1871;"2023-04-11 00:00:00";"delivered";958.0;10.0
207;3165;"2023-02-26 03:00:00";"processing";2656.07;0.0
208;523;"2023-12-05 04:00:00";"shipped";2152.64;0.0
209;3591;"2023-10-20 08:00:00";"shipped";1224.95;0.0
210;4444;"2023-01-02 13:00:00";"processing";1067.5;5.0
211;4608;"2023-12-21 15:00:00";"shipped";568.32;0.0
212;4248;"2023-08-01 13:00:00";"processing";588.93;0.0
213;650;"2023-02-22 12:00:00";"shipped";2330.89;0.0
214;1094;"2023-02-26 06:00:00";"processing";1232.86;5.0
215;1199;"2023-03-12 03:00:00";"shipped";975.52;0.0
216;1725;"2023-08-26 21:00:00";"delivered";251.37;0.0
217;3457;"2023-12-15 11:00:00";"pending";799.02;0.0
218;704;"2023-07-04 20:00:00";"shipped";549.02;0.0
219;896;"2023-08-27 19:00:00";"delivered";1197.58;0.0
220;4669;"2023-08-18 15:00:00";"delivered";894.01;0.0
221;1394;"2023-12-06 03:00:00";"delivered";2542.71;0.0
222;3158;"2023-03-29 21:00:00";"processing";862.08;5.0
223;1582;"2023-04-28 04:00:00";"delivered";655.36;0.0
