"product_id";"product_name";"category";"subcategory";"price";"cost";"supplier_id";"stock_quantity"
1;"Product_1";"Clothing";"Budget";85.25;43.62518773188462;13;274
2;"Product_2";"Electronics";"Standard";169.54;113.57573041500045;11;140
3;"Product_3";"Books";"Premium";355.2;252.69522108743558;38;205
4;"Product_4";"Food";"Budget";15.69;11.760954902362338;25;223
5;"Product_5";"Home";"Budget";99.57;46.014481938348794;15;112
6;"Product_6";"Sports";"Standard";124.34;90.66154232401969;13;277
7;"Product_7";"Jewelry";"Budget";435.46;218.56622681071283;42;403
8;"Product_8";"Sports";"Standard";295.75;168.853894926359;33;352
9;"Product_9";"Sports";"Standard";134.64;102.40415114509702;13;4
10;"Product_10";"Furniture";"Standard";83.77;48.73750666172503;38;381
11;"Product_11";"Food";"Standard";27.62;13.225157924121607;24;211
12;"Product_12";"Food";"Standard";58.48;27.13164758330666;20;255
13;"Product_13";"Electronics";"Premium";97.98;57.72917978263043;44;333
14;"Product_14";"Electronics";"Premium";139.17;98.12444849792682;17;474
15;"Product_15";"Clothing";"Standard";110.9;88.59602018670002;50;473
16;"Product_16";"Food";"Standard";135.22;96.67735789457063;24;415
17;"Product_17";"Jewelry";"Standard";66.06;49.598164003105964;26;29
18;"Product_18";"Electronics";"Standard";140.06;97.92056018901617;40;346
19;"Product_19";"Books";"Budget";25.52;19.34860150851833;32;409
20;"Product_20";"Furniture";"Standard";27.74;11.942553156611181;29;81
21;"Product_21";"Clothing";"Standard";27.77;21.43768020148812;14;492
22;"Product_22";"Home";"Premium";231.52;129.31838108422556;37;470
23;"Product_23";"Toys";"Standard";17.91;13.766444295581106;22;235
24;"Product_24";"Jewelry";"Premium";171.7;73.88133127671678;34;494
25;"Product_25";"Home";"Standard";36.6;25.11115689225343;27;343
26;"Product_26";"Books";"Standard";73.19;50.8140238060689;28;387
27;"Product_27";"Furniture";"Premium";257.64;205.79364860747125;22;360
28;"Product_28";"Furniture";"Standard";98.17;69.45940876944762;43;322
29;"Product_29";"Jewelry";"Premium";33.59;18.576260311338494;3;252
30;"Product_30";"Sports";"Budget";43.42;27.0462928445109;22;117
31;"Product_31";"Beauty";"Standard";263.13;143.83221934390994;48;426
32;"Product_32";"Furniture";"Premium";65.71;31.436154073192892;21;29
33;"Product_33";"Food";"Standard";98.43;49.156033638419515;16;110
34;"Product_34";"Beauty";"Budget";71.61;35.00326974375365;9;399
35;"Product_35";"Food";"Standard";57.55;35.65372890035716;13;253
36;"Product_36";"Sports";"Standard";35.27;26.892114231975956;10;198
37;"Product_37";"Sports";"Standard";125.9;96.32491288981171;49;294
38;"Product_38";"Sports";"Standard";136.67;57.66182618978183;21;341
39;"Product_39";"Electronics";"Budget";42.14;18.20278430244512;49;296
40;"Product_40";"Toys";"Budget";165.59;82.47170587086735;42;286
41;"Product_41";"Sports";"Standard";202.78;101.80038230870406;40;432
42;"Product_42";"Food";"Standard";263.42;115.36628261660942;7;396
