"supplier_id";"supplier_name";"country";"reliability_score"
3;"Supplier_3";"Italy";0.76
4;"Supplier_4";"China";0.885
8;"Supplier_8";"Italy";0.819
9;"Supplier_9";"Italy";0.958
13;"Supplier_13";"Italy";0.715
14;"Supplier_14";"Greece";0.747
17;"Supplier_17";"Italy";0.871
18;"Supplier_18";"China";0.805
24;"Supplier_24";"China";0.845
25;"Supplier_25";"China";0.856
32;"Supplier_32";"Italy";0.878
33;"Supplier_33";"China";0.719
38;"Supplier_38";"Italy";0.79
40;"Supplier_40";"Greece";0.907
41;"Supplier_41";"Germany";0.706
44;"Supplier_44";"Italy";0.863
49;"Supplier_49";"Greece";0.832
50;"Supplier_50";"China";0.782
35234;"Supplier_1";"Germany";0.953
35236;"11735";"Greece";0.974
35239;"11736";"53";0.845
35240;"Supplier_7";"Greece";0.969
35243;"11737";"7";0.976
35244;"11737";"China";0.786
35246;"11738";"22";0.895
35247;"Supplier_16";"Italy";0.731
35249;"11738";"245";0.785
35251;"11739";"32";0.72
35252;"11739";"Turkey";0.997
35253;"Supplier_23";"Greece";0.87
35258;"11740";"80";0.77
35259;"11740";"China";0.943
35260;"Supplier_31";"USA";0.822
35263;"11741";"273";0.796
35264;"11741";"USA";0.984
35265;"Supplier_37";"Greece";0.898
35267;"Supplier_39";"USA";0.885
35269;"11743";"Turkey";0.9
35270;"11743";"Italy";0.752
35272;"11744";"251";0.705
35273;"11744";"Italy";0.988
35274;"Supplier_48";"China";0.91
